FileName,Molecule,MinStartTime,MaxEndTime
C30_QC_02.d,PC O-36:0,10.9600,11.5800
C30_QC_00.d,PC O-36:2,11.7900,12.7100
C30_QC_01.d,PC O-36:2,11.7300,12.6700
C30_QC_02.d,PC O-36:2,11.7100,12.6800
C30_QC_00.d,PC O-36:3,12.0300,12.8700
C30_QC_01.d,PC O-36:3,11.9600,12.7600
C30_QC_02.d,PC O-36:3,11.9500,12.8700
C30_QC_00.d,PC O-36:5,11.7800,12.5400
C30_QC_01.d,PC O-36:5,11.7300,12.4000
C30_QC_02.d,PC O-36:5,11.6900,12.5000
C30_QC_00.d,PC O-38:5,11.9700,12.7700
C30_QC_01.d,PC O-38:5,11.8900,12.7200
C30_QC_02.d,PC O-38:5,11.8900,12.7000
C30_QC_00.d,PC O-40:5,11.6800,12.4900
C30_QC_01.d,PC O-40:5,11.5900,12.6100
C30_QC_02.d,PC O-40:5,12.5400,13.2000
C30_QC_00.d,PC O-40:7,11.7800,12.7000
C30_QC_01.d,PC O-40:7,11.6800,12.6100
C30_QC_02.d,PC O-40:7,11.6700,12.6300
C30_QC_00.d,PC P-15:0_20:4,10.9800,11.9300
C30_QC_01.d,PC P-15:0_20:4,10.9300,11.7900
C30_QC_02.d,PC P-15:0_20:4,10.9200,11.9000
C30_QC_00.d,PC P-16:0_16:1,10.9700,11.6600
C30_QC_01.d,PC P-16:0_16:1,10.8900,11.6300
C30_QC_02.d,PC P-16:0_16:1,10.8800,11.6100
C30_QC_00.d,PC P-16:0_18:0,11.7200,12.5800
C30_QC_01.d,PC P-16:0_18:0,11.6500,12.5300
C30_QC_02.d,PC P-16:0_18:0,11.6300,12.5100
C30_QC_00.d,PC P-16:0_18:1,12.0500,12.9600
C30_QC_01.d,PC P-16:0_18:1,11.9900,12.8600
C30_QC_02.d,PC P-16:0_18:1,11.9700,12.8900
C30_QC_00.d,PC P-16:0_18:2,11.9900,12.7600
C30_QC_01.d,PC P-16:0_18:2,11.9200,12.6900
C30_QC_02.d,PC P-16:0_18:2,11.9100,12.6900
C30_QC_00.d,PC P-16:0_18:3,11.0300,12.1500
C30_QC_01.d,PC P-16:0_18:3,10.9600,12.0300
C30_QC_02.d,PC P-16:0_18:3,10.9700,12.0600
C30_QC_00.d,PC P-16:0_20:4,11.7800,12.5400
C30_QC_01.d,PC P-16:0_20:4,11.7300,12.4000
C30_QC_02.d,PC P-16:0_20:4,11.6900,12.5000
C30_QC_00.d,PC P-16:0_20:5,11.0600,12.0800
C30_QC_01.d,PC P-16:0_20:5,10.9600,12.0200
C30_QC_02.d,PC P-16:0_20:5,10.9700,11.9900
C30_QC_00.d,PC P-16:0_22:6,11.3700,12.3900
C30_QC_01.d,PC P-16:0_22:6,12.8400,13.1900
C30_QC_02.d,PC P-16:0_22:6,12.8300,13.1900
C30_QC_00.d,PC P-18:0_20:4,11.9700,12.7700
C30_QC_01.d,PC P-18:0_20:4,11.8900,12.7200
C30_QC_02.d,PC P-18:0_20:4,11.8900,12.7000
C30_QC_00.d,PC P-18:0_22:5,11.3800,12.3400
C30_QC_01.d,PC P-18:0_22:5,12.0000,12.4500
C30_QC_02.d,PC P-18:0_22:5,11.3100,12.2700
C30_QC_00.d,PC P-18:0_22:6,11.7800,12.7000
C30_QC_01.d,PC P-18:0_22:6,11.6800,12.6100
C30_QC_02.d,PC P-18:0_22:6,11.6700,12.6300
C30_QC_00.d,PC P-20:0_20:4,12.6400,13.2000
C30_QC_01.d,PC P-20:0_20:4,12.5600,13.2000
C30_QC_02.d,PC P-20:0_20:4,12.5400,13.2000
C30_QC_00.d,PC P-35:2,10.9700,11.6500
C30_QC_01.d,PC P-35:2,10.8900,11.6300
C30_QC_02.d,PC P-35:2,10.8800,11.6100
C30_QC_00.d,PC P-36:2,12.0300,12.8700
C30_QC_01.d,PC P-36:2,11.9600,12.7600
C30_QC_02.d,PC P-36:2,11.9500,12.8700
C30_QC_00.d,PC P-36:3,11.9400,12.7800
C30_QC_01.d,PC P-36:3,11.8600,12.7500
C30_QC_02.d,PC P-36:3,11.8600,12.7100
C30_QC_00.d,PC P-37:4,10.9800,11.4800
C30_QC_01.d,PC P-37:4,10.9000,11.4200
C30_QC_02.d,PC P-37:4,10.9000,11.4100
C30_QC_00.d,PC P-38:5,11.8000,12.4700
C30_QC_01.d,PC P-38:5,11.7400,12.4000
C30_QC_02.d,PC P-38:5,11.7000,12.4300
C30_QC_00.d,S1P(d16:1),9.6000,9.8700
C30_QC_01.d,S1P(d16:1),8.9200,9.1300
C30_QC_02.d,S1P(d16:1),9.8100,9.9700
C30_QC_00.d,S1P(d18:0),2.2900,2.7300
C30_QC_02.d,S1P(d18:0),1.0900,1.8000
C30_QC_00.d,S1P(d18:1),4.1600,4.3800
C30_QC_01.d,S1P(d18:1),4.4500,4.6500
C30_QC_02.d,S1P(d18:1),3.5000,3.6300
C30_QC_00.d,S1P(d18:2),4.7100,4.8600
C30_QC_01.d,S1P(d18:2),5.1500,5.3100
C30_QC_02.d,S1P(d18:2),4.9000,5.0600
C30_QC_00.d,Sph(d18:1),2.5400,2.9500
C30_QC_01.d,Sph(d18:1),1.6500,1.8100
C30_QC_02.d,Sph(d18:1),3.1500,3.4900
C30_QC_00.d,Sph(d18:2),2.0800,2.3300
C30_QC_01.d,Sph(d18:2),3.2200,3.5000
C30_QC_02.d,Sph(d18:2),2.2300,2.3800
C30_QC_00.d,SHexCer(d18:1/16:0(OH)),9.9600,10.1200
C30_QC_01.d,SHexCer(d18:1/16:0(OH)),9.8800,10.0800
C30_QC_02.d,SHexCer(d18:1/16:0(OH)),9.8800,10.0500
C30_QC_00.d,SHexCer(d18:1/16:0),10.1200,10.2900
C30_QC_01.d,SHexCer(d18:1/16:0),10.0500,10.2200
C30_QC_02.d,SHexCer(d18:1/16:0),10.0700,10.2300
C30_QC_00.d,SHexCer(d18:1/24:0(OH)),12.2000,12.3700
C30_QC_01.d,SHexCer(d18:1/24:0(OH)),11.5200,11.6700
C30_QC_02.d,SHexCer(d18:1/24:0(OH)),11.9400,12.1000
C30_QC_00.d,SHexCer(d18:1/24:1(OH)),11.6800,11.8700
C30_QC_01.d,SHexCer(d18:1/24:1(OH)),10.6800,10.8700
C30_QC_02.d,SHexCer(d18:1/24:1(OH)),11.6300,11.7900
C30_QC_00.d,PC P-18:1_22:6,14.0900,15.8900
C30_QC_01.d,PC P-18:1_22:6,14.0600,15.8000
C30_QC_02.d,PC P-18:1_22:6,14.0600,15.8000
C30_QC_00.d,PIP1(38:4),16.1400,16.5000
C30_QC_01.d,PIP1(38:4),16.2300,16.5600
C30_QC_02.d,PIP1(38:4),15.4700,15.8300
C30_QC_00.d,TAG(40:0_FA14:0),13.5400,13.9400
C30_QC_01.d,TAG(40:0_FA14:0),13.4800,13.8800
C30_QC_02.d,TAG(40:0_FA14:0),13.4500,13.8800
C30_QC_00.d,TAG(40:0_FA16:0),13.5700,13.9700
C30_QC_01.d,TAG(40:0_FA16:0),13.5100,13.9100
C30_QC_02.d,TAG(40:0_FA16:0),13.5400,13.9100
C30_QC_00.d,TAG(42:0_FA14:0),13.8800,14.2400
C30_QC_01.d,TAG(42:0_FA14:0),13.8500,14.2100
C30_QC_02.d,TAG(42:0_FA14:0),13.8500,14.1800
C30_QC_00.d,TAG(42:0_FA16:0),13.9100,14.2700
C30_QC_01.d,TAG(42:0_FA16:0),13.8500,14.2100
C30_QC_02.d,TAG(42:0_FA16:0),13.8800,14.2400
C30_QC_00.d,TAG(42:1_FA14:0),13.5400,13.9400
C30_QC_01.d,TAG(42:1_FA14:0),13.4800,13.8800
C30_QC_02.d,TAG(42:1_FA14:0),13.4500,13.8500
C30_QC_00.d,TAG(42:1_FA16:0),13.5700,13.9700
C30_QC_01.d,TAG(42:1_FA16:0),13.5400,13.9100
C30_QC_02.d,TAG(42:1_FA16:0),13.5400,13.9400
C30_QC_00.d,TAG(42:1_FA16:1),13.5400,13.9400
C30_QC_01.d,TAG(42:1_FA16:1),13.4800,13.8800
C30_QC_02.d,TAG(42:1_FA16:1),13.4800,13.8800
C30_QC_00.d,TAG(42:1_FA18:1),13.5700,13.9400
